,experiment,model,pollutant,mean_squared_error,root_mean_squared_error,r2_score,best_model,best_mean_squared_error,best_root_mean_squared_error,best_r2_score,best_params,best_score
0,LinearRegression,LinearRegression(),co2,2080.7667527433787,45.61542231245238,0.9927323899777769,,,,,,
1,LinearRegression,LinearRegression(),nox,0.01578452771520847,0.1256364903808144,0.986641578016163,,,,,,
2,LinearRegression,LinearRegression(),pm10 brake wear,0.000695594148845827,0.026374118920749312,0.7231417549587499,,,,,,
3,LinearRegression,LinearRegression(),pm10 exhaust,2.6147098929986904e-06,0.0016170064604072213,0.9855589015669712,,,,,,
4,LinearRegression,LinearRegression(),pm10 tyre wear,7.0455001285080726e-06,0.0026543360993868267,0.987162904506653,,,,,,
5,LinearRegression,LinearRegression(),pm2.5 brake wear,0.00011016229700067735,0.010495822835808412,0.723141754958749,,,,,,
6,LinearRegression,LinearRegression(),pm2.5 exhaust,2.359775678431194e-06,0.0015361561373868197,0.985558901566972,,,,,,
7,LinearRegression,LinearRegression(),pm2.5 tyre wear,3.452295062968956e-06,0.0018580352695707787,0.987162904506653,,,,,,
8,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",co2,2543.5795760294777,50.433912955762985,0.9911158978320365,,,,,,
9,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",nox,0.01966538550741836,0.14023332523839818,0.9833572139234921,,,,,,
10,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm10 brake wear,0.0007889519210476403,0.028088287969323448,0.6859837814254164,,,,,,
11,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm10 exhaust,5.103888836151884e-06,0.00225917879685338,0.9718111132437809,,,,,,
12,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm10 tyre wear,1.2924071886617487e-05,0.0035950065210813577,0.9764519846788334,,,,,,
13,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm2.5 brake wear,0.00014424988956663378,0.012010407552062244,0.6374733247204628,,,,,,
14,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm2.5 exhaust,4.630395337549906e-06,0.002151835341644408,0.9716634104399929,,,,,,
15,SupportVectorRegression,"LinearSVR(max_iter=10000, random_state=42)",pm2.5 tyre wear,6.659624484637771e-06,0.002580624824463597,0.9752366950391531,,,,,,
16,RandomForestRegressor,RandomForestRegressor(random_state=42),co2,3551.592892735624,59.59524219881671,0.9875951535326722,,,,,,
17,RandomForestRegressor,RandomForestRegressor(random_state=42),nox,0.02040407348142192,0.1428428278963348,0.9827320634058989,,,,,,
18,RandomForestRegressor,RandomForestRegressor(random_state=42),pm10 brake wear,0.0006847539630022957,0.026167803939236012,0.7274563324081733,,,,,,
19,RandomForestRegressor,RandomForestRegressor(random_state=42),pm10 exhaust,2.847750913811529e-06,0.0016875280483036508,0.9842718110451879,,,,,,
20,RandomForestRegressor,RandomForestRegressor(random_state=42),pm10 tyre wear,5.578339298293751e-06,0.002361850820499413,0.9898361119920026,,,,,,
21,RandomForestRegressor,RandomForestRegressor(random_state=42),pm2.5 brake wear,0.00010884576146363186,0.010432917207743569,0.7264504524736403,,,,,,
22,RandomForestRegressor,RandomForestRegressor(random_state=42),pm2.5 exhaust,2.4876027456226635e-06,0.0015772136017745547,0.984776639389855,,,,,,
23,RandomForestRegressor,RandomForestRegressor(random_state=42),pm2.5 tyre wear,2.741513495144131e-06,0.0016557516405379556,0.9898058914746416,,,,,,
24,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),co2,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",3818.2737908075123,61.79218227905139,0.9866637022948017,{'n_estimators': 200},0.9860970104345386
25,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),nox,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",0.02088201103612715,0.1445060934221362,0.9823275855746412,{'n_estimators': 200},0.9801508644466462
26,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm10 brake wear,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",0.0006816034867067964,0.026107536971280848,0.728710275299532,{'n_estimators': 200},0.795184345347204
27,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm10 exhaust,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",2.922088188348743e-06,0.0017094116497639597,0.9838612446945157,{'n_estimators': 200},0.9801967733983197
28,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm10 tyre wear,,,,RandomForestRegressor(random_state=42),5.578339298293751e-06,0.002361850820499413,0.9898361119920026,{'n_estimators': 100},0.9868342123860596
29,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm2.5 brake wear,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",0.00010880454746797106,0.010430941830341644,0.726554030874059,{'n_estimators': 200},0.7943847642722784
30,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm2.5 exhaust,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",2.5860116885664066e-06,0.0016081081084822644,0.9841744070485651,{'n_estimators': 200},0.9804657240041896
31,RandomForestRegressor_Hyperparameter_Tuning,RandomForestRegressor(random_state=42),pm2.5 tyre wear,,,,"RandomForestRegressor(n_estimators=200, random_state=42)",2.7908195654340525e-06,0.0016705746213306523,0.9896225506184376,{'n_estimators': 200},0.9868949704172856
32,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),co2,4404.931443143198,66.36965754878653,0.9846146504113518,,,,,,
33,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),nox,0.02221884367014019,0.14905986606105678,0.9811962261339844,,,,,,
34,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm10 brake wear,0.0007861988634470693,0.028039237925576173,0.6870795449493855,,,,,,
35,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm10 exhaust,2.709361940715684e-06,0.0016460139552007705,0.9850361362913173,,,,,,
36,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm10 tyre wear,6.833622296749512e-06,0.0026141197938789095,0.987548951758033,,,,,,
37,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm2.5 brake wear,0.000124480350614093,0.011157076257429318,0.6871578357436983,,,,,,
38,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm2.5 exhaust,2.4512478461425095e-06,0.0015656461433358783,0.9849991201479688,,,,,,
39,GradientBoostingRegressor,GradientBoostingRegressor(random_state=42),pm2.5 tyre wear,3.380136441066406e-06,0.0018385147377887419,0.9874312208304712,,,,,,
40,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),co2,,,,"GradientBoostingRegressor(max_depth=2, random_state=42)",4586.554516948948,67.72410587781096,0.9839802853775405,"{'max_depth': 2, 'n_estimators': 100}",0.9851852752756172
41,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),nox,,,,"GradientBoostingRegressor(max_depth=4, n_estimators=150, random_state=42)",0.02116056509939113,0.14546671474736456,0.9820918456912865,"{'max_depth': 4, 'n_estimators': 150}",0.979931416663567
42,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),pm10 brake wear,,,,"GradientBoostingRegressor(max_depth=4, n_estimators=150, random_state=42)",0.0007347326368609787,0.027105952055978013,0.7075639742608784,"{'max_depth': 4, 'n_estimators': 150}",0.7834265072727293
43,GradientBoostingRegressor_Hyperparameter_Tuning,GradientBoostingRegressor(random_state=42),pm10 exhaust,,,,"GradientBoostingRegressor(max_depth=4, n_estimators=200, random_state=42)",2.716723367900442e-06,0.0016482485758830317,0.9849954789721755,"{'max_depth': 4, 'n_estimators': 200}",0.9814935875900443
