Pollutant,Feature,K-Score,P-value
pm2.5 tyre wear,VKM 2019 - HGVs - Articulated - 3 to 4 Axles,2507873.164970772,0.0
pm2.5 tyre wear,VKM Diesel PHV,2411931.5605616537,0.0
pm2.5 tyre wear,VKM Electric Car,2357863.4710503463,0.0
pm2.5 tyre wear,VKM Petrol LGV,2015124.644074387,0.0
pm2.5 tyre wear,VKM 2019 - HGVs - Rigid - 4 or more Axles,1988014.3574363862,0.0
pm2.5 tyre wear,VKM 2019 - HGVs - Rigid - 2 Axles,332860.233890966,0.0
pm2.5 tyre wear,VKM Diesel LGV,295768.99973258027,0.0
pm2.5 tyre wear,VKM 2019 - HGVs - Rigid - 3 Axles,289975.0756894517,0.0
pm2.5 tyre wear,VKM Petrol Car,62635.67483715474,0.0
pm2.5 tyre wear,AADT 2019 - HGVs - Articulated - 6 Axles,20439.59100477279,0.0
pm2.5 tyre wear,AADT Electric Car,18657.45746705721,0.0
pm2.5 tyre wear,AADT Petrol LGV,18465.787198554288,0.0
pm2.5 tyre wear,AADT 2019 - HGVs - Articulated - 5 Axles,14292.820958183394,0.0
pm2.5 tyre wear,AADT Diesel LGV,13285.046586014947,0.0
pm2.5 tyre wear,AADT 2019 - HGVs - Rigid - 3 Axles,6895.059166861282,0.0
pm2.5 tyre wear,VKM Diesel Car,5249.314611971929,0.0
pm2.5 tyre wear,AADT 2019 - HGVs - Rigid - 2 Axles,4183.449128810491,0.0
pm2.5 tyre wear,AADT 2019 - HGVs - Articulated - 3 to 4 Axles,3907.5845530079173,0.0
pm2.5 tyre wear,AADT Petrol Car,1066.4787803342101,5.385365826291179e-232
pm2.5 tyre wear,AADT Diesel Car,6.166001733414267,0.013025421786236765
pm2.5 exhaust,VKM 2019 - HGVs - Articulated - 3 to 4 Axles,1881971.4469260732,0.0
pm2.5 exhaust,VKM Diesel PHV,1791681.1939775113,0.0
pm2.5 exhaust,VKM Electric Car,1762205.713840981,0.0
pm2.5 exhaust,VKM 2019 - HGVs - Rigid - 4 or more Axles,1565015.4419463086,0.0
pm2.5 exhaust,VKM Petrol LGV,1551530.9230470522,0.0
pm2.5 exhaust,VKM 2019 - HGVs - Rigid - 2 Axles,281058.0128450851,0.0
pm2.5 exhaust,VKM Diesel LGV,255241.6478201704,0.0
pm2.5 exhaust,VKM 2019 - HGVs - Rigid - 3 Axles,251064.0649323203,0.0
pm2.5 exhaust,VKM Petrol Car,66580.54450217725,0.0
pm2.5 exhaust,AADT 2019 - HGVs - Articulated - 6 Axles,19902.83958669155,0.0
pm2.5 exhaust,AADT Electric Car,17865.490319289496,0.0
pm2.5 exhaust,AADT Petrol LGV,17694.1048713986,0.0
pm2.5 exhaust,AADT 2019 - HGVs - Articulated - 5 Axles,14029.68553860438,0.0
pm2.5 exhaust,AADT Diesel LGV,12850.19090734734,0.0
pm2.5 exhaust,AADT 2019 - HGVs - Rigid - 3 Axles,6751.506408194936,0.0
pm2.5 exhaust,VKM Diesel Car,6084.832917903211,0.0
pm2.5 exhaust,AADT 2019 - HGVs - Rigid - 2 Axles,4171.217573710132,0.0
pm2.5 exhaust,AADT 2019 - HGVs - Articulated - 3 to 4 Axles,3908.137163430914,0.0
pm2.5 exhaust,AADT Petrol Car,1173.6018829059203,7.119854330047198e-255
pm2.5 exhaust,AADT Diesel Car,28.053045546213674,1.1842711784283915e-07
pm2.5 brake wear,VKM Motorcycle,141539.21690935118,0.0
pm2.5 brake wear,VKM Petrol LGV,82593.1983889553,0.0
pm2.5 brake wear,VKM Electric Car,72384.29618273907,0.0
pm2.5 brake wear,VKM Diesel Car,71511.37830523388,0.0
pm2.5 brake wear,VKM 2019 - HGVs - Rigid - 4 or more Axles,69168.42035283968,0.0
pm2.5 brake wear,VKM 2019 - Coaches,63372.42061969954,0.0
pm2.5 brake wear,VKM Diesel LGV,56087.30914928437,0.0
pm2.5 brake wear,VKM 2019 - HGVs - Rigid - 2 Axles,55868.66698331939,0.0
pm2.5 brake wear,VKM Electric LGV,53487.89618417356,0.0
pm2.5 brake wear,AADT 2019 - HGVs - Articulated - 6 Axles,21827.24663036972,0.0
pm2.5 brake wear,AADT Petrol LGV,20463.329400609175,0.0
pm2.5 brake wear,AADT Electric Car,20399.505619923388,0.0
pm2.5 brake wear,AADT 2019 - HGVs - Articulated - 3 to 4 Axles,17210.998995682807,0.0
pm2.5 brake wear,AADT Diesel LGV,17191.10352096246,0.0
pm2.5 brake wear,VKM Petrol Car,16570.555233194806,0.0
pm2.5 brake wear,AADT 2019 - HGVs - Rigid - 3 Axles,7402.391227685757,0.0
pm2.5 brake wear,AADT 2019 - HGVs - Rigid - 2 Axles,5028.5905582057,0.0
pm2.5 brake wear,AADT 2019 - HGVs - Rigid - 4 or more Axles,4709.467361786159,0.0
pm2.5 brake wear,AADT Petrol Car,4558.464523682525,0.0
pm2.5 brake wear,AADT Diesel Car,223.5419877855597,1.8612522058187483e-50
pm10 tyre wear,VKM 2019 - HGVs - Articulated - 3 to 4 Axles,2507873.1649707025,0.0
pm10 tyre wear,VKM Diesel PHV,2411931.5605616537,0.0
pm10 tyre wear,VKM Electric Car,2357863.4710503463,0.0
pm10 tyre wear,VKM Petrol LGV,2015124.644074402,0.0
pm10 tyre wear,VKM 2019 - HGVs - Rigid - 4 or more Axles,1988014.3574363715,0.0
pm10 tyre wear,VKM 2019 - HGVs - Rigid - 2 Axles,332860.2338909679,0.0
pm10 tyre wear,VKM Diesel LGV,295768.9997325798,0.0
pm10 tyre wear,VKM 2019 - HGVs - Rigid - 3 Axles,289975.0756894525,0.0
pm10 tyre wear,VKM Petrol Car,62635.67483715481,0.0
pm10 tyre wear,AADT 2019 - HGVs - Articulated - 6 Axles,20439.59100477279,0.0
pm10 tyre wear,AADT Electric Car,18657.457467057233,0.0
pm10 tyre wear,AADT Petrol LGV,18465.787198554295,0.0
pm10 tyre wear,AADT 2019 - HGVs - Articulated - 5 Axles,14292.820958183393,0.0
pm10 tyre wear,AADT Diesel LGV,13285.046586014947,0.0
pm10 tyre wear,AADT 2019 - HGVs - Rigid - 3 Axles,6895.059166861282,0.0
pm10 tyre wear,VKM Diesel Car,5249.314611971934,0.0
